6,0,783.549927,555.466919,783.638431,555.302772,40
6,1,777.423645,544.883789,777.694249,545.034278,40
6,2,789.651978,544.869812,789.559102,545.020696,40
6,3,795.778320,555.452881,795.503315,555.289190,40
6,4,769.055054,337.630219,769.056252,337.637011,98
6,5,776.528503,350.540497,776.631881,350.723810,98
6,6,761.581604,324.719940,761.480583,324.550213,98
6,7,776.498962,324.702881,776.601919,324.532924,98
6,8,761.611145,350.557556,761.510545,350.741119,98
6,9,783.972412,337.613159,784.177548,337.619722,98
6,10,754.137695,337.647278,753.934916,337.654320,98
6,11,98.445084,377.785095,98.445111,377.785218,56
6,12,109.472977,396.835632,109.472987,396.835726,56
6,13,87.417130,358.734558,87.417178,358.734711,56
6,14,109.429359,358.709381,109.429371,358.709543,56
6,15,87.460747,396.860809,87.460794,396.860894,56
6,16,120.457283,377.759918,120.457275,377.760050,56
6,17,76.432854,377.810272,76.432919,377.810386,56
6,18,98.488701,415.911346,98.488728,415.911401,56
6,19,98.401466,339.658813,98.401495,339.659006,56
6,20,98.401466,339.658813,98.401495,339.659006,56
6,21,98.488701,415.911346,98.488728,415.911401,56
6,22,131.485138,396.810455,131.485122,396.810558,56
6,23,65.404907,358.759735,65.404985,358.759878,56
6,24,131.441559,358.684204,131.441534,358.684346,56
6,25,65.448524,396.885986,65.448602,396.886090,56
6,26,120.500870,415.886169,120.500862,415.886234,56
6,27,76.389236,339.684021,76.389302,339.684203,56
6,28,120.413666,339.633667,120.413659,339.633838,56
6,29,76.476471,415.936523,76.476535,415.936598,56
6,30,142.469452,377.734741,142.469410,377.734854,56
6,31,54.420628,377.835419,54.420726,377.835554,56
6,32,109.516594,434.961884,109.516603,434.961909,56
6,33,87.373573,320.608276,87.373620,320.608498,56
6,34,109.385803,320.583099,109.385812,320.583331,56
6,35,87.504364,434.987061,87.504411,434.987106,56
6,36,153.497345,396.785278,153.497285,396.785361,56
6,37,43.392677,358.784882,43.392793,358.785046,56
6,38,153.453751,358.659027,153.453698,358.659178,56
6,39,43.436295,396.911163,43.436409,396.911258,56
6,40,142.513031,415.860992,142.512997,415.861066,56
6,41,54.377014,339.709198,54.377110,339.709371,56
6,42,142.425827,339.608490,142.425793,339.608671,56
6,43,54.464245,415.961700,54.464343,415.961766,56
6,44,131.528763,434.936707,131.528738,434.936741,56
6,45,65.361343,320.633453,65.361427,320.633666,56
6,46,131.397934,320.557953,131.397918,320.558163,56
6,47,65.492142,435.012238,65.492218,435.012273,56
6,48,164.481674,377.709564,164.481602,377.709686,56
6,49,32.408401,377.860626,32.408534,377.860750,56
6,50,98.532257,454.037598,98.532286,454.037613,56
6,51,98.357849,301.532562,98.357879,301.532823,56
6,52,98.357849,301.532562,98.357879,301.532823,56
6,53,98.532257,454.037598,98.532286,454.037613,56
6,54,164.525269,415.835815,164.525190,415.835869,56
6,55,32.364784,339.734344,32.364917,339.734538,56
6,56,164.438065,339.583313,164.437986,339.583503,56
6,57,32.452019,415.986877,32.452150,415.986934,56
6,58,175.509567,396.760101,175.509478,396.760194,56
6,59,21.380508,358.810089,21.380658,358.810243,56
