# COLMAP_ID X Y Z
127 -6.92182 0.0493912 27.0179
126 -6.73589 0.128616 27.3608
125 4.78545 12.3835 113.55
124 -6.25082 0.313277 28.0909
123 -6.78892 0.0849822 27.1889
122 -6.78892 0.0849822 27.1889
121 -1.1145 2.38204 50.1713
120 -1.1145 2.38204 50.1713
119 -6.93911 -0.0384296 26.6635
118 1.97953 13.9647 153.427
117 -8.24507 -2.52481 38.6866
116 -7.03645 -0.0198688 26.7077
115 -6.97503 0.00353207 26.822
114 -6.97503 0.00353207 26.822
113 -7.2573 -4.60989 0.15008
112 -7.2573 -4.60989 0.15008
111 -5.62213 0.527519 28.8712
2 -5.44928 0.573134 29.0425
129 1.16117 13.4113 153.606
3 -6.20868 0.318225 28.1168
130 1.96611 15.3904 155.844
4 -1.15219 2.29522 50.1883
131 -6.78494 0.086408 27.1947
5 -6.70276 0.120908 27.3388
132 -6.78494 0.086408 27.1947
6 -3.0766 0.291066 35.4237
133 -6.06403 0.388583 28.364
7 4.19565 8.98231 96.1449
134 -7.3428 -0.206602 25.727
8 -7.00321 -0.0237957 26.7045
135 -7.3428 -0.206602 25.727
9 -7.43674 -4.65691 0.178836
136 -6.5466 0.202893 27.6641
30 -7.16127 -0.109273 26.2733
31 -7.16127 -0.109273 26.2733
32 -6.39462 0.258271 27.8833
33 -3.82956 -0.549428 27.3188
34 -5.90249 0.443177 28.5633
35 5.48856 12.9811 117.42
36 -7.23294 -0.142773 26.0944
37 47.5182 40.9449 237.671
38 -6.49841 0.0609147 27.2034
39 -6.49841 0.0609147 27.2034
40 -5.74762 0.357425 28.3857
41 -7.07992 -0.221566 25.7807
42 -6.44086 0.129735 27.4551
43 -8.69483 -7.62762 0.756694
44 2.11464 13.6896 153.45
45 2.11464 13.6896 153.45
46 -8.71417 -6.83073 0.645491
47 -8.71417 -6.83073 0.645491
48 -6.22255 0.247514 27.9013
49 -10.0761 -4.4465 10.4489
137 -7.43276 -0.315965 25.0404
10 -7.02185 -0.0290317 26.6735
50 -7.15771 -0.194724 25.8727
138 -43.5083 87.7456 13.2291
11 -7.02185 -0.0290317 26.6735
51 -6.87896 -0.0119249 26.791
139 -5.71769 -3.16853 19.103
12 -7.12541 -0.0808102 26.4148
52 -6.87896 -0.0119249 26.791
140 -5.85764 0.433378 28.5487
13 -5.49114 0.580174 29.0473
53 -5.59666 0.500379 28.8105
141 -5.85764 0.433378 28.5487
14 -6.6621 0.156599 27.477
54 -5.58623 0.510639 28.8403
142 -6.74286 -0.0347101 26.7585
15 3.98746 11.9431 109.501
55 -5.58623 0.510639 28.8403
143 0.507959 2.98946 69.9509
16 -7.44624 -0.343824 24.847
56 -6.14992 0.32317 28.1482
144 -6.63036 0.127394 27.384
17 -6.47998 0.238699 27.799
57 -7.00036 -0.0454553 26.614
128 1.16117 13.4113 153.606
1 -5.67301 0.4997 28.7836
59 -7.12962 -0.119179 26.2442
58 -7.00036 -0.0454553 26.614
18 -6.38618 0.277001 27.9447
19 -6.42048 0.268533 27.9104
20 -7.40142 -0.26462 25.376
21 -6.92904 0.0499386 27.0191
22 -7.49261 -0.370024 24.6331
23 -5.6135 0.51724 28.8503
24 -5.34642 0.603893 29.1494
25 -5.52212 0.549984 28.9597
26 -5.21679 0.647 29.2963
27 -5.90331 0.431662 28.5311
28 -5.00711 -1.91933 18.8378
29 -1.08005 2.60849 50.1348
60 -7.12418 -0.1063 26.3051
61 -6.60615 0.167271 27.5287
62 -5.93483 0.424925 28.5018
63 -6.46883 0.226338 27.7609
64 -3.99072 -0.639376 27.3514
65 43.7813 38.4388 212.983
66 -5.09443 0.694383 29.4468
67 -7.17494 -0.112893 26.2548
68 -5.37912 0.615628 29.1688
69 -7.47595 -0.393979 24.464
70 -7.08367 -0.224673 25.7635
71 2.12543 13.6488 153.454
72 -5.59501 0.508351 28.8311
73 -7.11196 -0.103997 26.3189
74 -6.99957 -0.0357528 26.6524
75 -6.12264 0.344845 28.2197
76 -6.30528 0.27963 27.9744
77 -5.80524 0.464955 28.6517
78 -6.57617 0.183883 27.5969
79 -3.14251 0.743334 35.3673
80 -6.19736 0.34278 28.196
81 -7.16928 -0.10081 26.3147
82 -6.79504 0.108878 27.2757
83 -6.79504 0.108878 27.2757
84 -7.42026 -0.275066 25.3031
85 -9.35526 -9.09855 1.04746
86 -9.35526 -9.09855 1.04746
87 -5.47759 0.552918 28.9801
88 -5.47759 0.552918 28.9801
89 -6.22868 0.303863 28.0715
90 -6.22868 0.303863 28.0715
91 -2.31757 1.07145 43.0746
92 -6.28595 -3.43548 9.83921
93 -6.90902 0.0210426 26.9112
94 -6.24756 0.307169 28.0739
95 -6.94095 0.0124204 26.8671
96 -7.09639 -0.0702381 26.4742
97 -5.38429 0.607864 29.148
98 -5.52352 0.565667 28.9988
99 -6.77681 0.100406 27.2471
100 7.18547 15.362 131.543
101 -6.78715 0.109743 27.2743
102 -6.78715 0.109743 27.2743
103 -6.69346 0.156939 27.4711
104 -9.16352 -8.46829 0.934107
105 -8.64907 -6.98017 0.658779
106 -5.51558 0.529176 28.9111
107 -6.23414 0.288848 28.0231
108 -2.43323 0.640626 43.1503
109 -5.44761 0.569141 29.0354
110 -5.5823 0.532641 28.8974
