# COLMAP_ID X Y Z
2688 219.363 -312.248 3934.38
2603 -101.744 156.408 857.816
2591 328.536 38.2148 763.35
2573 -138.255 -5.66934 1709.87
2571 398.523 -15.7092 1346.54
2568 373.004 -321.615 2852.53
2567 -71.0301 86.3124 152.875
2565 -44.6295 54.5573 147.696
2564 -260.197 202.266 782.968
2561 -55.7783 116.264 783.221
2560 -25.5359 51.7624 678.421
2543 -327.418 -186.46 1720.14
2533 -421.908 192.18 700.96
2495 1020.75 -363.017 2743.05
2460 372.504 -607.863 4055.48
2395 -67.1624 87.7341 152.807
2394 315.388 118.232 1171.87
2361 1035.26 -183.297 2881.71
2352 409.969 -284.89 2630.44
2345 -700.864 -271.213 3099.81
2344 528.807 -496.428 3467.64
2342 543.322 -518.589 3387.1
2341 526.148 -540.428 3436.7
2336 -135.972 -302.133 506.035
2334 390.942 -9.06487 772.547
2333 70.3637 -45.5008 1191.11
2328 -613.651 -231.154 2982.55
2326 533.177 -477.316 3533.41
2324 -859.035 -250.265 2936.68
2316 518.328 -436.491 3511.11
2314 593.989 -511.908 3351.2
2313 -731.667 -171.85 2073.12
2309 -420.943 -49.3941 1685.84
2308 10.7745 80.4286 1130.7
2307 -188.349 181.599 814.203
2305 248.02 85.0393 1417.58
2304 144.45 -143.297 469.011
2302 -202.749 -93.0254 1257.73
2299 -195.667 -331.694 428.888
2296 32.7094 74.2856 128.775
2293 -59.8614 143.914 707.868
2292 -53.2204 116.046 679.313
2289 -770.944 -130.353 1611.73
2287 -846.366 -358.383 2732.01
2281 11.7975 -273.152 565.499
2279 1.03802 52.3825 158.415
2277 344.421 -8.80922 808.768
2276 29.3438 -270.585 574.637
2275 205.788 -293.685 574.057
2274 -100.149 163.063 322.498
2270 -35.4871 123.921 730.624
2267 -140.153 65.6397 1047
2261 -138.992 65.2351 1158.3
2249 -368.302 181.003 763.554
2248 -528.36 130.752 655.339
2245 -335.888 138.494 812.413
2244 -38.9372 127.276 699.93
2237 -352.148 -148.079 1612.06
2233 50.1076 -313.158 507.397
2230 -106.43 209.162 518.294
2227 -536.154 174.133 650.943
2222 -246.278 75.9285 953.998
2219 -498.792 50.0616 1026.11
2216 -675.987 14.1478 1309.21
2214 340.24 -24.9117 1244.7
2209 103.794 -256.896 546.091
2206 139.441 -301.613 550.944
2201 -41.6732 69.9496 146.854
2200 -51.8642 60.6638 164.944
2199 -96.2327 36.6355 135.641
2198 -83.1246 142.774 791.383
2189 302.14 -42.6504 1131.35
2188 -137.456 -88.2637 1299.33
2185 -803.165 -290.346 3152.22
2182 219.042 -197.508 595.743
2177 -400.081 169.552 765.858
2175 -680.82 -155.538 1924.85
2170 -82.5806 130.494 159.56
2167 -130.332 188.597 901.367
2166 5.9854 62.1737 479.608
2165 -853.335 -278.315 3061.08
2157 -45.4645 -209.457 3164.34
2151 -60.154 140.294 150.82
2150 -672.305 -36.119 1490.29
2149 -38.0429 61.1936 146.059
2148 -286.912 167.487 795.212
2143 -755.917 -102.768 1503.46
2138 -1415.16 -587.203 4022.73
2136 -512.283 186.088 637.055
2135 -348.84 150.748 840.384
2132 -30.4578 69.2423 669.633
2127 -1333.95 -395.773 4062.52
